"year","state","county","cases","population","type"
2019,"Nebraska","Cuming County",0,8940,"primary and secondary syphilis"
2019,"Georgia","Chattahoochee County",34,10684,"gonorrhea"
2019,"Ohio","Van Wert County",55,28281,"chlamydia"
2019,"North Carolina","Caldwell County",322,82029,"chlamydia"
2019,"Texas","Baylor County",9,3582,"chlamydia"
2019,"Kansas","Osborne County",0,3475,"primary and secondary syphilis"
2019,"Texas","Freestone County",16,19808,"gonorrhea"
2019,"Iowa","Davis County",5,9017,"gonorrhea"
2019,"Michigan","Kent County",25,653786,"primary and secondary syphilis"
2019,"Nebraska","York County",19,13772,"gonorrhea"
2019,"Kentucky","Marshall County",80,31191,"chlamydia"
2019,"Georgia","Dodge County",2,20705,"primary and secondary syphilis"
2019,"Indiana","Parke County",76,16927,"chlamydia"
2019,"California","Kings County",314,151366,"gonorrhea"
2019,"Illinois","Lawrence County",0,15765,"primary and secondary syphilis"
2019,"South Carolina","Georgetown County",372,62249,"chlamydia"
2019,"North Carolina","Robeson County",1232,131831,"chlamydia"
2019,"North Dakota","LaMoure County",3,4062,"chlamydia"
2019,"Ohio","Perry County",1,36033,"primary and secondary syphilis"
2019,"Indiana","Clay County",0,26170,"primary and secondary syphilis"
2019,"Texas","Andrews County",66,18128,"chlamydia"
2019,"Georgia","Polk County",103,42470,"gonorrhea"
2019,"North Carolina","Cherokee County",0,28383,"primary and secondary syphilis"
2019,"New Hampshire","Carroll County",74,48779,"chlamydia"
2019,"Texas","Potter County",812,119648,"gonorrhea"
2019,"North Carolina","Craven County",180,102912,"gonorrhea"
2019,"Ohio","Monroe County",27,13790,"chlamydia"
2019,"Louisiana","Lincoln Parish",16,47196,"primary and secondary syphilis"
2019,"Iowa","Chickasaw County",1,11964,"primary and secondary syphilis"
2019,"Minnesota","Martin County",42,19785,"chlamydia"
2019,"Minnesota","Winona County",38,50825,"gonorrhea"
2019,"California","Santa Cruz County",229,274255,"gonorrhea"
2019,"Georgia","Carroll County",246,118121,"gonorrhea"
2019,"Vermont","Franklin County",139,49421,"chlamydia"
2019,"Tennessee","Gibson County",8,49045,"primary and secondary syphilis"
2019,"Colorado","San Juan County",1,762,"chlamydia"
2019,"Virginia","Giles County",9,16844,"gonorrhea"
2019,"New Jersey","Middlesex County",2806,829685,"chlamydia"
2019,"Washington","Chelan County",3,77036,"primary and secondary syphilis"
2019,"Louisiana","Lafayette Parish",491,242782,"gonorrhea"
2019,"Iowa","Wayne County",2,6401,"gonorrhea"
2019,"Minnesota","Chisago County",0,55922,"primary and secondary syphilis"
2019,"Virginia","Culpeper County",25,51859,"gonorrhea"
2019,"Michigan","Jackson County",5,158823,"primary and secondary syphilis"
2019,"Utah","Sanpete County",4,30623,"gonorrhea"
2019,"West Virginia","Fayette County",42,43018,"gonorrhea"
2019,"Illinois","Piatt County",16,16396,"gonorrhea"
2019,"Montana","Blaine County",57,6807,"chlamydia"
2019,"New Jersey","Burlington County",31,445384,"primary and secondary syphilis"
2019,"West Virginia","Ritchie County",2,9721,"gonorrhea"
2019,"California","Tuolumne County",45,54539,"gonorrhea"
2019,"Florida","Escambia County",2355,315534,"chlamydia"
2019,"Iowa","Calhoun County",21,9699,"chlamydia"
2019,"Oregon","Hood River County",0,23428,"primary and secondary syphilis"
2019,"North Dakota","Sioux County",0,4358,"primary and secondary syphilis"
2019,"Tennessee","Moore County",0,6411,"primary and secondary syphilis"
2019,"Pennsylvania","York County",35,448273,"primary and secondary syphilis"
2019,"Nebraska","Cedar County",1,8446,"gonorrhea"
2019,"Montana","Madison County",1,8768,"gonorrhea"
2019,"Oregon","Baker County",1,16006,"primary and secondary syphilis"
2019,"Oklahoma","Major County",18,7644,"chlamydia"
2019,"Georgia","Dougherty County",1190,91243,"chlamydia"
2019,"Kansas","Stafford County",0,4178,"primary and secondary syphilis"
2019,"New Mexico","Cibola County",3,26746,"primary and secondary syphilis"
2019,"Missouri","Lawrence County",1,38359,"primary and secondary syphilis"
2019,"Texas","La Salle County",18,7531,"chlamydia"
2019,"Pennsylvania","Northampton County",271,304807,"gonorrhea"
2019,"North Dakota","Williams County",54,35350,"gonorrhea"
2019,"Oklahoma","Caddo County",38,28977,"gonorrhea"
2019,"Nebraska","Fillmore County",0,5527,"primary and secondary syphilis"
2019,"Hawaii","Kauai County",243,72133,"chlamydia"
2019,"Nebraska","Sarpy County",245,184459,"gonorrhea"
2019,"Mississippi","Tippah County",93,21995,"chlamydia"
2019,"Iowa","Floyd County",0,15761,"primary and secondary syphilis"
2019,"Minnesota","Koochiching County",1,12440,"gonorrhea"
2019,"Kentucky","Nelson County",62,45851,"gonorrhea"
2019,"Arkansas","Cross County",1,16676,"primary and secondary syphilis"
2019,"Tennessee","Chester County",64,17276,"chlamydia"
2019,"Alabama","Houston County",375,104722,"gonorrhea"
2019,"Kansas","Ness County",0,2840,"primary and secondary syphilis"
2019,"Wisconsin","La Crosse County",83,118230,"gonorrhea"
2019,"Illinois","Scott County",17,4926,"chlamydia"
2019,"Massachusetts","Nantucket County",50,11327,"chlamydia"
2019,"North Carolina","Orange County",6,146027,"primary and secondary syphilis"
2019,"Michigan","Arenac County",0,15041,"primary and secondary syphilis"
2019,"Kentucky","Clark County",15,36249,"primary and secondary syphilis"
2019,"Wisconsin","Bayfield County",0,15042,"primary and secondary syphilis"
2019,"Florida","Polk County",84,708009,"primary and secondary syphilis"
2019,"Nebraska","Howard County",3,6468,"chlamydia"
2019,"Missouri","Ripley County",21,13401,"gonorrhea"
2019,"Michigan","Huron County",4,31166,"gonorrhea"
2019,"Georgia","Jasper County",20,14040,"gonorrhea"
2019,"Pennsylvania","Montour County",60,18240,"chlamydia"
2019,"Alaska","Aleutians West Census Area",0,5723,"primary and secondary syphilis"
2019,"Ohio","Coshocton County",35,36629,"gonorrhea"
2019,"Illinois","Bond County",13,16630,"gonorrhea"
2019,"Tennessee","Fentress County",0,18217,"primary and secondary syphilis"
2019,"Kentucky","McCracken County",360,65346,"chlamydia"
2019,"Iowa","Johnson County",1176,151260,"chlamydia"
2019,"Washington","Pacific County",4,22036,"gonorrhea"
2019,"Louisiana","Tangipahoa Parish",1056,133777,"chlamydia"
2019,"Texas","Jones County",9,19817,"gonorrhea"
2019,"Montana","Dawson County",14,8680,"chlamydia"
2019,"Georgia","Banks County",29,18988,"chlamydia"
2019,"Colorado","Clear Creek County",0,9605,"primary and secondary syphilis"
2019,"Wisconsin","Sauk County",30,64249,"gonorrhea"
2019,"Pennsylvania","McKean County",11,40968,"gonorrhea"
2019,"Texas","Denton County",781,859064,"gonorrhea"
2019,"Georgia","Stephens County",38,26035,"gonorrhea"
2019,"Michigan","Lake County",5,11881,"gonorrhea"
2019,"Georgia","Gilmer County",1,30816,"primary and secondary syphilis"
2019,"Illinois","Menard County",0,12288,"primary and secondary syphilis"
2019,"Virginia","Grayson County",44,15631,"chlamydia"
2019,"North Dakota","Adams County",0,2294,"primary and secondary syphilis"
2019,"Kansas","Clark County",3,2005,"chlamydia"
2019,"Louisiana","St. Charles Parish",4,52879,"primary and secondary syphilis"
2019,"Iowa","Bremer County",74,24947,"chlamydia"
2019,"New York","Westchester County",85,967612,"primary and secondary syphilis"
2019,"Michigan","Tuscola County",0,52516,"primary and secondary syphilis"
2019,"Kansas","Stanton County",0,1987,"gonorrhea"
2019,"Georgia","Treutlen County",23,6809,"chlamydia"
2019,"Mississippi","Leake County",212,22763,"chlamydia"
2019,"Georgia","Thomas County",313,44448,"chlamydia"
2019,"Alabama","Calhoun County",373,114277,"gonorrhea"
2019,"Louisiana","Catahoula Parish",2,9608,"primary and secondary syphilis"
2019,"Georgia","Emanuel County",169,22612,"chlamydia"
2019,"Tennessee","Hancock County",1,6549,"primary and secondary syphilis"
2019,"Indiana","Pike County",1,12410,"gonorrhea"
2019,"Louisiana","Lafourche Parish",607,98115,"chlamydia"
2019,"Louisiana","Jackson Parish",83,15902,"chlamydia"
2019,"Missouri","Wayne County",0,13122,"primary and secondary syphilis"
2019,"Mississippi","Pike County",388,39563,"chlamydia"
2019,"Florida","Dixie County",1,16700,"primary and secondary syphilis"
2019,"Ohio","Brown County",34,43602,"gonorrhea"
2019,"West Virginia","Tyler County",14,8746,"chlamydia"
2019,"Pennsylvania","Cumberland County",159,251423,"gonorrhea"
2019,"Missouri","Bates County",32,16320,"chlamydia"
2019,"Minnesota","Fillmore County",8,21058,"gonorrhea"
2019,"North Carolina","Carteret County",3,69524,"primary and secondary syphilis"
2019,"Michigan","Isabella County",4,70562,"primary and secondary syphilis"
2019,"Indiana","Jasper County",80,33370,"chlamydia"
2019,"Michigan","Presque Isle County",3,12738,"gonorrhea"
2019,"Texas","Frio County",107,19816,"chlamydia"
2019,"Kentucky","McCreary County",55,17408,"chlamydia"
2019,"Texas","Floyd County",6,5837,"gonorrhea"
2019,"Alaska","Lake and Peninsula Borough",0,1587,"primary and secondary syphilis"
2019,"Illinois","Moultrie County",10,14717,"gonorrhea"
2019,"Georgia","Grady County",50,24748,"gonorrhea"
2019,"Virginia","Lancaster County",23,10783,"gonorrhea"
2019,"Indiana","Steuben County",44,34586,"gonorrhea"
2019,"Iowa","Sioux County",0,34909,"primary and secondary syphilis"
2019,"Kansas","Cherokee County",23,20015,"gonorrhea"
2019,"South Carolina","Edgefield County",52,27052,"gonorrhea"
2019,"Alabama","Bibb County",1,22400,"primary and secondary syphilis"
2019,"Louisiana","Winn Parish",0,14134,"primary and secondary syphilis"
2019,"Arkansas","Searcy County",0,7958,"primary and secondary syphilis"
2019,"Montana","Teton County",15,6162,"chlamydia"
2019,"Hawaii","Hawaii County",7,200983,"primary and secondary syphilis"
2019,"Nebraska","Kearney County",0,6544,"primary and secondary syphilis"
2019,"Missouri","Webster County",1,39109,"primary and secondary syphilis"
2019,"Oklahoma","Washington County",65,51843,"gonorrhea"
2019,"North Carolina","Dare County",67,36501,"chlamydia"
2019,"Indiana","Putnam County",0,37779,"primary and secondary syphilis"
2019,"Illinois","Brown County",3,6556,"chlamydia"
2019,"Missouri","New Madrid County",62,17296,"gonorrhea"
2019,"Florida","Taylor County",3,21623,"primary and secondary syphilis"
2019,"Michigan","Ottawa County",798,290494,"chlamydia"
2019,"Kentucky","Bracken County",1,8239,"primary and secondary syphilis"
2019,"Iowa","Black Hawk County",6,132408,"primary and secondary syphilis"
2019,"Illinois","Lake County",32,700832,"primary and secondary syphilis"
2019,"Alabama","Walker County",82,63711,"gonorrhea"
2019,"North Carolina","Catawba County",685,158652,"chlamydia"
2019,"Arizona","Navajo County",43,110445,"primary and secondary syphilis"
2019,"Montana","Lake County",174,30250,"chlamydia"
2019,"Oregon","Deschutes County",6,191996,"primary and secondary syphilis"
2019,"Maryland","Somerset County",184,25675,"chlamydia"
2019,"Oklahoma","Beaver County",17,5319,"chlamydia"
2019,"Mississippi","Jefferson Davis County",53,11234,"gonorrhea"
2019,"Kansas","Marion County",0,11950,"primary and secondary syphilis"
2019,"Florida","Madison County",3,18529,"primary and secondary syphilis"
2019,"Illinois","Jefferson County",216,37820,"chlamydia"
2019,"New York","Hamilton County",1,4434,"gonorrhea"
2019,"Iowa","Butler County",8,14539,"gonorrhea"
2019,"Arizona","Pima County",2211,1039073,"gonorrhea"
2019,"Kansas","Morton County",0,2667,"gonorrhea"
2019,"Oklahoma","Choctaw County",107,14668,"chlamydia"
2019,"Missouri","Marion County",0,28592,"primary and secondary syphilis"
2019,"North Dakota","Burleigh County",228,95273,"gonorrhea"
2019,"North Carolina","Northampton County",1,19676,"primary and secondary syphilis"
2019,"Arkansas","Clark County",178,22061,"chlamydia"
2019,"Montana","Hill County",1,16347,"primary and secondary syphilis"
2019,"Idaho","Lewis County",11,3861,"chlamydia"
2019,"Louisiana","Tensas Parish",1,4462,"primary and secondary syphilis"
2019,"Missouri","Saline County",43,22895,"gonorrhea"
2019,"Texas","Mason County",4,4280,"chlamydia"
2019,"West Virginia","Wayne County",21,39944,"gonorrhea"
2019,"Louisiana","West Carroll Parish",56,10982,"chlamydia"
2019,"Georgia","Burke County",2,22423,"primary and secondary syphilis"
2019,"Indiana","Fayette County",27,23047,"gonorrhea"
2019,"Georgia","Appling County",0,18507,"primary and secondary syphilis"
2019,"North Carolina","Perquimans County",35,13422,"gonorrhea"
2019,"California","Tehama County",100,63916,"gonorrhea"
2019,"Alabama","Chilton County",0,44153,"primary and secondary syphilis"
2019,"Colorado","Boulder County",236,326078,"gonorrhea"
2019,"Indiana","Scott County",2,23878,"primary and secondary syphilis"
2019,"Florida","Clay County",1004,216072,"chlamydia"
2019,"Virginia","Middlesex County",29,10769,"chlamydia"
2019,"Oklahoma","Love County",41,10134,"chlamydia"
2019,"Kansas","Grant County",4,7336,"gonorrhea"
2019,"North Dakota","Slope County",0,763,"gonorrhea"
2019,"Georgia","Paulding County",118,164044,"gonorrhea"
2019,"North Dakota","Cass County",13,181516,"primary and secondary syphilis"
2019,"Georgia","Toombs County",92,26887,"gonorrhea"
2019,"Tennessee","Lewis County",57,12086,"chlamydia"
2019,"Kentucky","Estill County",11,14198,"gonorrhea"
2019,"Nebraska","Thurston County",44,7303,"gonorrhea"
2019,"Virginia","Manassas city",3,41641,"primary and secondary syphilis"
2019,"Minnesota","Washington County",6,259201,"primary and secondary syphilis"
2019,"Ohio","Pike County",88,28067,"chlamydia"
2019,"South Carolina","Union County",105,27410,"gonorrhea"
2019,"Nebraska","Perkins County",0,2929,"gonorrhea"
2019,"Illinois","Effingham County",70,34208,"chlamydia"
2019,"California","Merced County",690,274765,"gonorrhea"
2019,"Utah","Daggett County",0,980,"chlamydia"
2019,"Texas","Burleson County",23,18389,"gonorrhea"
2019,"Missouri","Oregon County",21,10541,"chlamydia"
2019,"North Dakota","Bowman County",0,3076,"gonorrhea"
2019,"West Virginia","Greenbrier County",104,34786,"chlamydia"
2019,"Louisiana","Acadia Parish",345,62190,"chlamydia"
2019,"Missouri","Callaway County",6,44889,"primary and secondary syphilis"
2019,"Mississippi","Grenada County",257,21055,"chlamydia"
2019,"Tennessee","Perry County",0,8064,"primary and secondary syphilis"
2019,"Montana","Carbon County",21,10714,"chlamydia"
2019,"Wisconsin","Richland County",7,17377,"gonorrhea"
2019,"Louisiana","Claiborne Parish",1,15944,"primary and secondary syphilis"
2019,"Montana","Sheridan County",0,3424,"primary and secondary syphilis"
2019,"Kansas","Grant County",1,7336,"primary and secondary syphilis"
2019,"Nebraska","Antelope County",0,6336,"gonorrhea"
2019,"Tennessee","Knox County",1361,465289,"gonorrhea"
2019,"New Hampshire","Carroll County",1,48779,"primary and secondary syphilis"
2019,"Kentucky","Johnson County",8,22386,"gonorrhea"
2019,"Illinois","Bureau County",11,32993,"gonorrhea"
2019,"Texas","Hill County",66,36354,"chlamydia"
2019,"Pennsylvania","Juniata County",35,24704,"chlamydia"
2019,"Indiana","Clark County",536,117360,"chlamydia"
2019,"Mississippi","Yazoo County",1,28248,"primary and secondary syphilis"
2019,"Ohio","Belmont County",187,67505,"chlamydia"
2019,"Arkansas","Union County",284,39126,"chlamydia"
2019,"Texas","Coke County",4,3370,"gonorrhea"
2019,"Wyoming","Johnson County",0,8460,"primary and secondary syphilis"
2019,"Alabama","Lee County",286,163941,"gonorrhea"
2019,"Kansas","Meade County",0,4146,"primary and secondary syphilis"
2019,"New Mexico","Curry County",223,49437,"gonorrhea"
2019,"Texas","Coleman County",1,8397,"primary and secondary syphilis"
2019,"Montana","Fallon County",12,2920,"chlamydia"
2019,"Illinois","Fayette County",0,21416,"primary and secondary syphilis"
2019,"Oregon","Hood River County",15,23428,"gonorrhea"
2019,"Colorado","Eagle County",2,54993,"primary and secondary syphilis"
2019,"North Carolina","Gates County",48,11573,"chlamydia"
2019,"North Carolina","Haywood County",4,61971,"primary and secondary syphilis"
2019,"Texas","Hale County",0,33830,"primary and secondary syphilis"
2019,"Oklahoma","Lincoln County",125,34920,"chlamydia"
2019,"Kentucky","Ballard County",13,7979,"gonorrhea"
2019,"Kentucky","Allen County",1,21122,"primary and secondary syphilis"
2019,"Minnesota","Cottonwood County",3,11277,"gonorrhea"
2019,"Missouri","Macon County",28,15153,"chlamydia"
2019,"Pennsylvania","Jefferson County",60,43641,"chlamydia"
2019,"Rhode Island","Newport County",3,82542,"primary and secondary syphilis"
2019,"Oregon","Wasco County",1,26505,"primary and secondary syphilis"
2019,"New York","Chautauqua County",141,127939,"gonorrhea"
2019,"Louisiana","Calcasieu Parish",1175,203112,"chlamydia"
2019,"Colorado","Larimer County",1362,350518,"chlamydia"
2019,"California","Tulare County",876,465861,"gonorrhea"
2019,"Indiana","Delaware County",249,114772,"gonorrhea"
2019,"Illinois","Adams County",282,65691,"chlamydia"
2019,"Georgia","Atkinson County",7,8297,"gonorrhea"
2019,"Washington","Benton County",235,201877,"gonorrhea"
2019,"Georgia","Worth County",18,20299,"gonorrhea"
2019,"North Carolina","Wake County",6369,1092305,"chlamydia"
2019,"Kentucky","Spencer County",35,18794,"chlamydia"
2019,"Tennessee","Grundy County",1,13346,"primary and secondary syphilis"
2019,"Pennsylvania","Armstrong County",116,65263,"chlamydia"
2019,"Ohio","Huron County",26,58504,"gonorrhea"
2019,"Missouri","Scotland County",0,4966,"primary and secondary syphilis"
2019,"Nebraska","Custer County",1,10840,"gonorrhea"
2019,"South Carolina","Laurens County",420,66994,"chlamydia"
2019,"Arkansas","Washington County",401,236961,"gonorrhea"
2019,"Montana","Prairie County",0,1087,"primary and secondary syphilis"
2019,"Florida","Okeechobee County",2,41537,"primary and secondary syphilis"
2019,"Alabama","Jackson County",1,51736,"primary and secondary syphilis"
2019,"Kentucky","Clark County",64,36249,"gonorrhea"
2019,"New Mexico","McKinley County",53,72290,"primary and secondary syphilis"
2019,"Oklahoma","Wagoner County",110,80110,"gonorrhea"
2019,"Illinois","Lake County",2991,700832,"chlamydia"
2019,"Minnesota","St. Louis County",781,199754,"chlamydia"
2019,"Texas","Wilbarger County",8,12820,"gonorrhea"
2019,"New Mexico","McKinley County",263,72290,"gonorrhea"
2019,"Michigan","St. Clair County",4,159337,"primary and secondary syphilis"
2019,"Iowa","Benton County",68,25642,"chlamydia"
2019,"Arkansas","Little River County",36,12326,"gonorrhea"
2019,"Texas","Matagorda County",82,36552,"chlamydia"
2019,"Tennessee","Jackson County",0,11758,"primary and secondary syphilis"
2019,"Iowa","Iowa County",63,16141,"chlamydia"
2019,"Michigan","Montmorency County",1,9265,"gonorrhea"
2019,"South Dakota","Hutchinson County",1,7380,"gonorrhea"
2019,"Alaska","Bristol Bay Borough",5,877,"chlamydia"
2019,"South Carolina","Pickens County",694,124937,"chlamydia"
2019,"Pennsylvania","Pike County",15,55933,"gonorrhea"
2019,"Michigan","Ionia County",173,64210,"chlamydia"
2019,"Texas","Childress County",16,7291,"gonorrhea"
2019,"Kansas","Wabaunsee County",0,6899,"primary and secondary syphilis"
2019,"South Dakota","Beadle County",0,18883,"primary and secondary syphilis"
2019,"Mississippi","Carroll County",54,9911,"chlamydia"
2019,"Ohio","Knox County",29,61893,"gonorrhea"
2019,"Maine","Cumberland County",987,293557,"chlamydia"
2019,"Texas","Brooks County",3,7114,"gonorrhea"
2019,"North Carolina","Forsyth County",1520,379099,"gonorrhea"
2019,"Iowa","Scott County",397,173283,"gonorrhea"
2019,"North Carolina","Rockingham County",199,90690,"gonorrhea"
2019,"Washington","Klickitat County",0,22107,"primary and secondary syphilis"
2019,"South Carolina","Greenwood County",14,70741,"primary and secondary syphilis"
2019,"North Carolina","Davidson County",416,166614,"gonorrhea"
2019,"Utah","Garfield County",3,5080,"chlamydia"
2019,"Georgia","Turner County",22,7912,"gonorrhea"
2019,"Georgia","Johnson County",14,9708,"gonorrhea"
2019,"Texas","Polk County",103,50031,"chlamydia"
2019,"Virginia","Richmond city",68,228783,"primary and secondary syphilis"
2019,"Oklahoma","Logan County",287,47291,"chlamydia"
2019,"Texas","Lynn County",0,5877,"primary and secondary syphilis"
2019,"Iowa","Adair County",0,7063,"primary and secondary syphilis"
2019,"Arkansas","Pope County",4,64000,"primary and secondary syphilis"
2019,"Virginia","Henrico County",51,329261,"primary and secondary syphilis"
2019,"Minnesota","Mille Lacs County",2,26139,"primary and secondary syphilis"
2019,"Georgia","Jenkins County",0,8683,"primary and secondary syphilis"
2019,"Colorado","Weld County",13,314305,"primary and secondary syphilis"
2019,"Georgia","Thomas County",111,44448,"gonorrhea"
2019,"South Carolina","Beaufort County",268,188715,"gonorrhea"
2019,"Michigan","Gladwin County",62,25337,"chlamydia"
2019,"Georgia","Rockdale County",718,90594,"chlamydia"
2019,"Missouri","Hickory County",0,9509,"primary and secondary syphilis"
2019,"Kansas","Hamilton County",10,2607,"chlamydia"
2019,"Arkansas","Sevier County",1,17139,"primary and secondary syphilis"
2019,"Alabama","Pickens County",10,19938,"primary and secondary syphilis"
2019,"Oregon","Coos County",1,64389,"primary and secondary syphilis"
2019,"Virginia","Smyth County",21,30472,"gonorrhea"
2019,"Texas","Cooke County",1,40574,"primary and secondary syphilis"
2019,"Connecticut","Fairfield County",56,943823,"primary and secondary syphilis"
2019,"Arkansas","St. Francis County",1,25439,"primary and secondary syphilis"
2019,"Missouri","St. Louis city",2441,302838,"gonorrhea"
2019,"Idaho","Canyon County",1333,223499,"chlamydia"
2019,"North Carolina","Catawba County",297,158652,"gonorrhea"
2019,"North Carolina","Hoke County",5,54764,"primary and secondary syphilis"
2019,"Illinois","Will County",822,692310,"gonorrhea"
2019,"Missouri","Clay County",430,246365,"gonorrhea"
2019,"Georgia","Sumter County",79,29733,"gonorrhea"
2019,"Louisiana","Richland Parish",170,20192,"chlamydia"
2019,"Virginia","Loudoun County",14,406850,"primary and secondary syphilis"
2019,"South Dakota","Clark County",0,3739,"gonorrhea"
2019,"South Dakota","Edmunds County",2,3875,"gonorrhea"
2019,"Virginia","Suffolk city",839,91185,"chlamydia"
2019,"Virginia","Norton city",0,3968,"primary and secondary syphilis"
2019,"Tennessee","Cannon County",1,14462,"primary and secondary syphilis"
2019,"Virginia","Buena Vista city",36,6237,"chlamydia"
2019,"Georgia","Towns County",15,11852,"chlamydia"
2019,"Michigan","Hillsdale County",0,45749,"primary and secondary syphilis"
2019,"Colorado","Arapahoe County",49,651215,"primary and secondary syphilis"
2019,"California","Los Angeles County",26195,10105518,"gonorrhea"
2019,"Maryland","Worcester County",44,51823,"gonorrhea"
2019,"West Virginia","Greenbrier County",0,34786,"primary and secondary syphilis"
2019,"Illinois","McLean County",258,172828,"gonorrhea"
2019,"North Carolina","Montgomery County",132,27271,"chlamydia"
2019,"New York","Dutchess County",1178,293718,"chlamydia"
2019,"West Virginia","Putnam County",127,56682,"chlamydia"
2019,"Michigan","Lake County",32,11881,"chlamydia"
2019,"Maryland","Kent County",0,19383,"primary and secondary syphilis"
2019,"Georgia","Brantley County",11,18897,"gonorrhea"
2019,"Colorado","Lincoln County",4,5610,"gonorrhea"
2019,"Colorado","Park County",18,18556,"chlamydia"
2019,"Ohio","Columbiana County",97,102665,"gonorrhea"
2019,"North Dakota","Walsh County",0,10667,"primary and secondary syphilis"
2019,"Louisiana","Grant Parish",49,22482,"gonorrhea"
2019,"Texas","Travis County",217,1248743,"primary and secondary syphilis"
2019,"Kansas","Riley County",547,73703,"chlamydia"
2019,"Texas","Borden County",0,648,"gonorrhea"
2019,"South Dakota","Pennington County",364,111729,"gonorrhea"
2019,"Mississippi","Attala County",48,18365,"gonorrhea"
2019,"Nebraska","Box Butte County",7,10772,"gonorrhea"
2019,"Virginia","Frederick County",33,88355,"gonorrhea"
2019,"North Carolina","Cabarrus County",1175,211342,"chlamydia"
2019,"Indiana","Randolph County",4,24851,"gonorrhea"
2019,"Michigan","Alpena County",67,28360,"chlamydia"
2019,"Idaho","Bingham County",104,46236,"chlamydia"
2019,"Georgia","Whitfield County",1,104062,"primary and secondary syphilis"
2019,"Wisconsin","Menominee County",9,4658,"gonorrhea"
2019,"Kansas","Sumner County",74,22996,"chlamydia"
2019,"Michigan","Oakland County",1270,1259201,"gonorrhea"
2019,"Texas","Cochran County",7,2836,"chlamydia"
2019,"Kentucky","Jackson County",2,13442,"primary and secondary syphilis"
2019,"Illinois","Massac County",41,14080,"chlamydia"
2019,"Texas","Reeves County",0,15695,"primary and secondary syphilis"
2019,"Colorado","La Plata County",204,56310,"chlamydia"
2019,"Georgia","Stewart County",2,6199,"primary and secondary syphilis"
2019,"Kentucky","Todd County",32,12311,"chlamydia"
2019,"Minnesota","Waseca County",10,18691,"gonorrhea"
2019,"Virginia","Virginia Beach city",35,450189,"primary and secondary syphilis"
2019,"New York","Tompkins County",8,102793,"primary and secondary syphilis"
2019,"Alaska","Sitka City and Borough",0,8647,"primary and secondary syphilis"
2019,"Virginia","Cumberland County",19,9809,"gonorrhea"
2019,"Texas","Castro County",16,7665,"chlamydia"
2019,"Wisconsin","Waukesha County",3,403072,"primary and secondary syphilis"
2019,"Texas","San Jacinto County",0,28719,"primary and secondary syphilis"
2019,"Connecticut","Hartford County",4505,892697,"chlamydia"
2019,"Arkansas","Mississippi County",3,41239,"primary and secondary syphilis"
2019,"Texas","Washington County",65,35108,"chlamydia"
2019,"Missouri","Jefferson County",606,224347,"chlamydia"
2019,"West Virginia","Jackson County",6,28706,"gonorrhea"
2019,"Colorado","Teller County",11,25083,"gonorrhea"
2019,"Missouri","Henry County",2,21792,"primary and secondary syphilis"
2019,"Texas","Edwards County",2,1928,"gonorrhea"
2019,"North Carolina","Rutherford County",162,66826,"gonorrhea"
2019,"Ohio","Sandusky County",1,58799,"primary and secondary syphilis"
2019,"North Dakota","Stutsman County",0,20917,"primary and secondary syphilis"
2019,"Florida","Jackson County",283,48305,"chlamydia"
2019,"Idaho","Bear Lake County",9,6050,"chlamydia"
2019,"Nebraska","Dixon County",3,5709,"gonorrhea"
2019,"North Carolina","Granville County",164,60115,"gonorrhea"
2019,"Virginia","Stafford County",679,149960,"chlamydia"
2019,"Alabama","Choctaw County",3,12841,"primary and secondary syphilis"
2019,"Maine","Knox County",1,39771,"primary and secondary syphilis"
2019,"Utah","Cache County",278,127068,"chlamydia"
2019,"Texas","Bastrop County",359,86976,"chlamydia"
2019,"Kansas","Wallace County",0,1503,"gonorrhea"
2019,"Missouri","Newton County",4,58266,"primary and secondary syphilis"
2019,"New York","Suffolk County",53,1481093,"primary and secondary syphilis"
2019,"New York","Ulster County",605,178599,"chlamydia"
2019,"Oklahoma","Osage County",13,47014,"primary and secondary syphilis"
2019,"Texas","Tarrant County",3271,2084931,"gonorrhea"
2019,"Alaska","Petersburg Borough",0,3221,"primary and secondary syphilis"
2019,"West Virginia","Wyoming County",32,20786,"chlamydia"
2019,"Indiana","Pulaski County",25,12469,"chlamydia"
2019,"Texas","Crosby County",9,5779,"gonorrhea"
2019,"Alabama","Marengo County",148,19066,"chlamydia"
2019,"Virginia","Amherst County",44,31666,"gonorrhea"
2019,"Utah","Sevier County",3,21539,"gonorrhea"
2019,"Illinois","Lee County",113,34223,"chlamydia"
2019,"Washington","Cowlitz County",100,108987,"gonorrhea"
2019,"Indiana","Adams County",59,35636,"chlamydia"
2019,"Connecticut","New Haven County",4337,857620,"chlamydia"
2019,"Virginia","Russell County",6,26748,"gonorrhea"
2019,"Texas","Winkler County",35,7720,"chlamydia"
2019,"Pennsylvania","Bucks County",1627,628195,"chlamydia"
2019,"Tennessee","Putnam County",2,78843,"primary and secondary syphilis"
2019,"Missouri","Butler County",187,42639,"gonorrhea"
2019,"Georgia","Clarke County",211,127330,"gonorrhea"
2019,"Pennsylvania","Centre County",756,162805,"chlamydia"
2019,"Louisiana","Beauregard Parish",119,37253,"chlamydia"
2019,"North Carolina","Ashe County",0,27109,"primary and secondary syphilis"
2019,"Iowa","Cedar County",47,18627,"chlamydia"
2019,"Texas","Trinity County",0,14740,"primary and secondary syphilis"
